iter	Passed	Remaining
0	60	5940
1	60	2977
2	61	1984
3	61	1486
4	62	1188
5	63	988
6	63	845
7	64	738
8	64	653
9	65	585
10	65	530
11	66	484
12	66	445
13	67	411
14	67	383
15	68	357
16	68	334
17	68	314
18	69	296
19	69	279
20	70	264
21	70	250
22	71	238
23	71	226
24	72	216
25	72	207
26	73	197
27	73	189
28	74	181
29	74	173
30	74	166
31	75	160
32	75	153
33	76	147
34	76	142
35	77	137
36	77	132
37	78	127
38	78	122
39	79	118
40	79	114
41	79	110
42	80	106
43	80	102
44	81	99
45	81	95
46	81	92
47	82	89
48	82	86
49	83	83
50	83	80
51	84	77
52	84	74
53	85	72
54	85	69
55	85	67
56	86	65
57	86	62
58	87	60
59	87	58
60	87	56
61	88	54
62	88	52
63	89	50
64	89	48
65	89	46
66	90	44
67	90	42
68	91	40
69	91	39
70	91	37
71	92	35
72	92	34
73	93	32
74	93	31
75	93	29
76	94	28
77	94	26
78	94	25
79	95	23
80	95	22
81	96	21
82	96	19
83	96	18
84	97	17
85	97	15
86	97	14
87	98	13
88	98	12
89	98	10
90	99	9
91	99	8
92	100	7
93	100	6
94	100	5
95	101	4
96	101	3
97	102	2
98	102	1
99	102	0
